episode,timestep,reward          last_normalized_acton   Fxf before Fxf -> zero
3,8000,[-3264.3369 -3414.4955 -3191.7981 -4418.4228    37.2577]
6,16000,[-1239.8758 -3751.567  -4186.2462 -2540.4728  -808.0426]
11,24000,[-2056.0205 -3137.1519 -3599.2145 -4488.2052 -2351.0401]
16,32000,[-3800.2998 -4170.8656 -3845.4878 -4550.5956 -2773.5453]
19,40000,[-3603.1959 -3199.5533 -3500.0485    93.6472 -3279.8682]
23,48000,[-3898.8095 -3772.1748 -3343.0324 -4371.7435 -3384.436 ]
28,56000,[-2756.211  -3070.823  -3518.623  -2460.8388 -3191.2201]
33,64000,[-4294.5033 -2207.2019 -4400.4174 -3899.2313 -3595.8284]
36,72000,[-2201.9735 -2925.5381 -1490.7421 -3428.3414 -4614.7464]
40,80000,[-1606.9259  -819.4583 -4527.9657 -3277.5099 -2835.1572]
45,88000,[-3617.3515 -3616.1156 -3807.6416 -4019.7372 -3643.008 ]
48,96000,[ -549.7932 -3996.6288 -2080.6152 -4765.0536 -3944.1118]
53,104000,[-3505.9061 -3956.6041 -4350.6979 -3365.7593 -3982.2197]
58,112000,[-3643.5923 -3530.5938 -3533.7233 -2580.0171 -3704.2425]
62,120000,[-4664.466  -3500.0206 -3928.7531 -4363.0058 -2563.1353]
67,128000,[-3974.1868 -2589.8099 -4887.4692 -2469.8942 -3331.8476]
70,136000,[-1961.7135  -207.4609 -4005.0569 -4710.7831 -3858.3249]
76,144000,[-4107.0662 -3135.0966 -2906.4185 -3427.715  -4249.4959]
80,152000,[-4657.3235 -3305.017  -2212.1178 -2419.4314 -4602.381 ]
84,160000,[ -905.5927 -4673.5461 -3137.8294 -2726.7458 -2741.2682]
88,168000,[-1324.4935 -3864.2401 -3182.0294 -3498.0926 -4043.9238]
91,176000,[-4830.9928 -4555.0808 -4365.0638   221.3948 -4179.9233]
96,184000,[-2798.1622 -3698.9107 -3884.9923 -3217.493  -3957.4419]
100,192000,[-1202.8612 -3729.0513 -3366.4287 -3922.0511 -3123.8058]
104,200000,[-3248.6088 -3481.2645 -2519.3045 -4290.0336 -4386.1153]
108,208000,[-3115.0168 -3427.5612 -2632.1378 -1795.645  -1862.8186]
112,216000,[-2910.3878 -4207.2536 -3509.5489 -4578.1878 -4589.8415]
